all,,centrals,,satellites,,025dexerror,,Muzzin,,Santini,,Wright,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8.039370078740157,-1.772151898734176,8.039370078740157,-1.81012658227848,8.068897637795278,-3.0886075949367076,8.098425196850394,-1.81012658227848,10.942913385826772,-4.367088607594935,10.007874015748031,-2.734177215189872,9.791338582677167,-3.329113924050631
8.236220472440944,-1.9113924050632907,8.196850393700789,-1.924050632911392,8.275590551181104,-3.1898734177215164,8.413385826771654,-2.063291139240505,11.13976377952756,-4.860759493670884,10.194881889763781,-3.0886075949367076,10.047244094488189,-3.3670886075949333
8.413385826771654,-2.050632911392402,8.374015748031496,-2.0379746835443004,8.452755905511811,-3.2658227848101244,8.669291338582678,-2.215189873417721,11.30708661417323,-4.987341772151897,10.391732283464567,-3.443037974683543,10.283464566929133,-3.5316455696202524
8.580708661417322,-2.1518987341772124,8.561023622047244,-2.139240506329111,8.669291338582678,-3.405063291139239,8.925196850393702,-2.405063291139239,11.503937007874017,-5.189873417721518,10.598425196850394,-3.8607594936708853,10.539370078740157,-3.8354430379746827
8.797244094488189,-2.3037974683544284,8.738188976377954,-2.3037974683544284,8.777559055118111,-3.506329113924048,9.25,-2.6835443037974667,11.671259842519685,-5.822784810126581,10.80511811023622,-4.037974683544302,10.785433070866143,-3.9746835443037973
8.974409448818898,-2.4556962025316427,8.96456692913386,-2.468354430379744,9.043307086614174,-3.6329113924050613,9.555118110236222,-2.911392405063289,11.868110236220474,-5.974683544303797,10.99212598425197,-3.8734177215189867,11.041338582677167,-4.329113924050631
9.171259842519685,-2.5949367088607573,9.151574803149607,-2.658227848101264,9.240157480314961,-3.797468354430377,9.761811023622048,-3.0759493670886044,,,11.208661417322835,-4.050632911392404,11.28740157480315,-4.582278481012658
9.358267716535433,-2.7215189873417707,9.387795275590552,-2.8354430379746827,9.437007874015748,-3.9240506329113902,10.047244094488189,-3.3670886075949333,,,11.60236220472441,-4.3417721518987324,11.533464566929135,-4.848101265822784
9.505905511811024,-2.8607594936708836,9.624015748031496,-3.0379746835443022,9.624015748031496,-4.11392405063291,10.362204724409448,-3.7215189873417707,,,,,,
9.702755905511811,-3.0126582278480996,9.801181102362206,-3.215189873417721,9.87992125984252,-4.329113924050631,10.568897637795276,-3.9746835443037973,,,,,,
9.88976377952756,-3.202531645569618,10.076771653543307,-3.4556962025316444,10.066929133858268,-4.481012658227847,10.716535433070867,-4.253164556962025,,,,,,
10.135826771653543,-3.518987341772151,10.244094488188978,-3.7215189873417707,10.175196850393702,-4.6835443037974684,10.913385826771655,-4.594936708860757,,,,,,
10.303149606299213,-3.7594936708860747,10.421259842519685,-4.050632911392404,10.312992125984252,-4.860759493670884,11.021653543307087,-4.873417721518987,,,,,,
10.450787401574804,-4.0126582278481,10.568897637795276,-4.240506329113922,10.440944881889763,-5.12658227848101,11.120078740157481,-5.177215189873415,,,,,,
10.598425196850394,-4.240506329113922,10.687007874015748,-4.481012658227847,10.539370078740157,-5.3037974683544284,11.29724409448819,-5.468354430379744,,,,,,
10.716535433070867,-4.531645569620251,10.8248031496063,-4.784810126582279,10.608267716535433,-5.569620253164555,11.366141732283465,-5.784810126582276,,,,,,
10.864173228346457,-4.860759493670884,10.913385826771655,-5.063291139240505,10.755905511811026,-5.772151898734176,,,,,,,,
10.923228346456693,-5.075949367088608,11.041338582677167,-5.316455696202528,,,,,,,,,,
11.031496062992126,-5.341772151898731,11.11023622047244,-5.569620253164555,,,,,,,,,,
11.1496062992126,-5.594936708860757,11.228346456692915,-5.835443037974681,,,,,,,,,,
11.228346456692915,-5.835443037974681,,,,,,,,,,,,
